Controls,image,url,icon,stix_type,protocol,group,typeql,class,form,form_group,form_family,condition1,field1,value1,condition2,field2,value2,head,prior_string0,post_field0,prior_string1,post_field1,prior_string2,post_field2,prior_string3,post_field3,prior_string4,post_field4,prior_string5,post_field5,prior_string6,post_field6
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-attack-subtechnique.svg,attack-subtechnique,attack-pattern,attack,sdo,sub-technique,SubTechnique,attack-subtechnique,sdo-forms,attack-forms,EXISTS,x_mitre_attack_spec_version,,EQUALS,x_mitre_is_subtechnique,TRUE,Attack-Subtechnique,Sub-Technique -> ,external_references.[0].external_id,Name -> ,name,Description ->,description,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-atlas-tactic.svg,atlas-tactic,x-mitre-tactic,atlas,sdo,tactic,Tactic,atlas-tactic,sdo-forms,attack-forms,EQUALS,external_references.[0].source_name,mitre-atlas,,,,Atlas-Tactic,Name -> ,name,Atlas ID -> ,external_references.[0].external_id,Description ->,description,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-attack-tactic.svg,attack-tactic,x-mitre-tactic,attack,sdo,tactic,Tactic,attack-tactic,sdo-forms,attack-forms,,,,,,,Attack-Tactic,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-task.svg,task,task,os-threat,sdo,task,Task,task,sdo-forms,attack-forms,,,,,,,Task,Outcome -> ,outcome,Type -> ,task_types,Description ->,description,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-atlas-technique.svg,atlas-technique,attack-pattern,atlas,sdo,technique,Technique,atlas-technique,sdo-forms,os-threat-forms,EQUALS,external_references.[0].source_name,mitre-atlas,NOT_EXISTS,x_mitre_is_subtechnique,,Atlas-Technique,Name -> ,name,Atlas ID -> ,external_references.[0].external_id,Description ->,description,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-attack-technique.svg,attack-technique,attack-pattern,attack,sdo,technique,Technique,attack-technique,sdo-forms,attack-forms,EXISTS,x_mitre_attack_spec_version,,EQUALS,x_mitre_is_subtechnique,FALSE,Attack-Technique,Technique -> ,external_references.[0].external_id,Name -> ,name,Description ->,description,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-threat-actor.svg,threat-actor,threat-actor,stix21,sdo,threat-actor,ThreatActor,threat-actor,sdo-forms,attack-forms,,,,,,,Threat-Actor,Name -> ,name,Description ->,description,Type ->,threat_actor_types,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-oca-tool-hvt-ext.svg,oca-tool-hvt-ext,tool,oca,sdo,tool,Tool,tool,sdo-forms,stix-forms,EXISTS,extensions.extension-definition--fb58a27d-32d2-4b8d-9705-e3cfd2d3dcdf,,,,,High Value Tool,Attributes -> ,extensions.extension-definition--fb58a27d-32d2-4b8d-9705-e3cfd2d3dcdf.high_value_target_attributes,Name -> ,name,Description ->,description,Type ->,tool_types,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-tool.svg,tool,tool,stix21,sdo,tool,Tool,tool,sdo-forms,oca-forms,,,,,,,Tool,Name -> ,name,Description ->,description,Type ->,tool_types,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-vulnerability.svg,vulnerability,vulnerability,stix21,sdo,vulnerability,Vulnerability,vulnerability,sdo-forms,stix-forms,,,,,,,Vulnerability,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-attack-procedure.svg,attack-procedure,relationship,attack,sro,attack-relation,AttackRelation,attack-procedure,sro-forms,stix-forms,EXISTS,x_mitre_attack_spec_version,,,,,Attack-Procedure,Type -> ,relationship_type,Description ->,description,Source -> ,source_ref ,Target -> ,target_ref,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-relationship.svg,relationship,relationship,stix21,sro,relationship,Relationship,relationship,sro-forms,attack-forms,,,,,,,Relationship,Type -> ,relationship_type,Description ->,description,Source -> ,source_ref ,Target -> ,target_ref,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-sighting-alert.svg,sighting-alert,sighting,os-threat,sro,sighting,Sighting,sighting,sro-forms,stix-forms,EXISTS,extensions.sighting-alert,,,,,Sighting-Alert,Name -> ,extensions.sighting-alert.name,Description ->,description,,,,,,,,,,
